Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
India	372.282	431.979	474.612	529.148	569.189	618.044	660.602	703.784	798.752	879.436	962.837	"1,005.92"	"1,085.25"	"1,163.74"	"1,267.74"	"1,392.36"	"1,524.90"	"1,614.01"	"1,733.12"	"1,906.93"	"2,027.05"	"2,173.93"	"2,294.62"	"2,522.89"	"2,794.17"	"3,148.71"	"3,544.53"	"3,996.50"	"4,232.75"	"4,626.69"	"5,160.83"	"5,618.38"	"6,153.15"	"6,477.52"	"6,781.02"	"7,159.80"	"7,735.00"	"8,280.93"	"8,998.69"	"9,542.26"	"8,681.30"	"9,654.25"	"10,610.73"	"11,627.49"	"12,728.08"	"13,909.25"
																																														
Indonesia	189.919	223.696	242.853	262.946	293.069	314.147	343.508	375.138	415.472	470.986	532.598	599.771	653.453	722.155	793.187	876.387	962.205	"1,024.80"	900.298	920.524	987.954	"1,046.41"	"1,110.79"	"1,185.50"	"1,278.67"	"1,393.55"	"1,514.70"	"1,654.08"	"1,811.74"	"1,911.39"	"2,056.98"	"2,229.51"	"2,413.44"	"2,535.04"	"2,622.25"	"2,647.71"	"2,744.90"	"2,894.13"	"3,116.82"	"3,331.87"	"3,328.29"	"3,609.70"	"3,868.42"	"4,143.52"	"4,436.68"	"4,753.00"
																																														
Malaysia	46.398	54.313	61.095	67.456	75.315	77.017	79.473	85.827	97.684	110.711	125.199	141.791	157.91	177.648	198.154	222.195	248.895	271.739	254.575	274.085	304.508	312.797	334.875	360.839	395.687	428.314	465.919	508.572	543.517	539.37	586.732	630.696	677.647	701.7	745.387	750.777	783.874	829.297	889.716	944.565	900.426	992.103	"1,070.34"	"1,151.85"	"1,236.09"	"1,323.30"
																																														
Mexico	404.79	480.863	507.915	509.405	545.789	575.369	568.88	592.991	621.781	672.688	733.983	790.789	837.453	880.763	944.018	903.176	982.009	"1,067.34"	"1,135.09"	"1,183.19"	"1,269.42"	"1,292.02"	"1,311.93"	"1,355.62"	"1,446.70"	"1,526.18"	"1,643.05"	"1,725.85"	"1,779.54"	"1,698.33"	"1,806.05"	"1,911.32"	"2,012.77"	"2,064.49"	"2,173.23"	"2,230.64"	"2,383.39"	"2,472.59"	"2,587.71"	"2,625.90"	"2,424.51"	"2,565.55"	"2,670.13"	"2,777.02"	"2,889.55"	"3,008.41"
																																														
Pakistan	70.248	81.668	93.271	103.503	111.499	125.042	135.676	147.11	162.1	176.556	191.568	208.201	229.064	239.409	255.204	273.744	297.152	307.423	321.745	340.041	361.227	376.411	394.265	420.565	464.204	521.543	568.59	616.191	659.51	666.935	692.117	732.18	752.629	784.863	827.826	872.097	898.016	950.382	"1,027.06"	"1,065.37"	"1,076.26"	"1,111.26"	"1,176.79"	"1,252.33"	"1,340.03"	"1,434.89"
																																														
South Africa	134.996	155.689	164.675	167.965	182.899	186.398	190.185	198.983	214.652	228.41	236.205	241.708	241.933	250.72	264.356	278.308	295.609	308.666	313.755	325.791	346.911	364.217	383.55	402.193	431.832	468.781	510.032	551.808	580.491	575.921	600.342	633.011	637.034	668.458	682.955	695.228	707.744	724.101	747.322	761.824	710.773	748.268	773.308	799.262	831.969	868.1
																																														
Sri Lanka	16.357	18.861	21.075	22.626	25.019	27.09	28.818	29.96	31.854	33.847	37.282	42.713	42.317	46.559	51.374	55.625	63.533	71.279	70.895	73.99	82.011	82.177	86.588	93.435	101.175	110.838	122.95	134.834	145.635	151.938	166.03	183.744	210.688	223.39	233.895	242.361	259.19	269.854	285.469	297.201	287.671	309.516	330.651	352.287	375.744	401.429
																																														
Thailand	74.751	86.659	96.939	106.357	116.542	125.81	135.446	152.007	178.279	207.86	240.703	269.753	301.366	335.27	369.813	408.226	439.198	434.47	405.821	430.504	459.737	486.002	524.047	572.154	624.51	670.928	725.573	785.56	814.659	815.201	886.663	912.79	"1,008.79"	"1,049.95"	"1,059.45"	"1,087.23"	"1,146.22"	"1,205.68"	"1,285.87"	"1,339.64"	"1,261.49"	"1,340.94"	"1,425.39"	"1,513.20"	"1,608.27"	"1,699.99"
																																														
Turkey	159.42	182.12	200.004	217.725	240.972	259.18	282.75	318.796	337.04	351.14	397.996	415.267	450.149	497.874	480.761	526.133	573.309	627.097	653.766	641.335	701.13	675.307	730.222	786.648	886.96	996.828	"1,098.35"	"1,184.74"	"1,217.63"	"1,167.74"	"1,280.90"	"1,454.11"	"1,550.69"	"1,703.67"	"1,860.47"	"2,022.94"	"2,116.18"	"2,282.30"	"2,406.26"	"2,471.66"	"2,381.59"	"2,555.85"	"2,705.84"	"2,851.86"	"3,009.13"	"3,175.21"
																																														
Argentina	"18,295.43"	"16,941.52"	"16,135.87"	"16,504.37"	"16,552.43"	"15,143.02"	"16,019.23"	"16,239.41"	"15,729.40"	"14,448.22"	"13,961.36"	"15,221.16"	"16,562.77"	"17,340.00"	"18,118.16"	"17,387.03"	"18,130.83"	"19,376.36"	"19,898.28"	"19,016.97"	"18,669.29"	"17,667.36"	"15,591.77"	"16,829.23"	"18,158.06"	"19,577.84"	"20,947.87"	"22,610.96"	"23,297.92"	"21,706.68"	"23,521.27"	"24,647.63"	"24,118.87"	"24,424.14"	"23,550.10"	"23,933.89"	"23,189.53"	"23,597.12"	"22,759.40"	"22,063.90"	"19,271.09"	"20,013.17"	"20,315.50"	"20,573.58"	"20,801.31"	"20,946.17"
																																														
Brazil	"11,387.77"	"10,648.72"	"10,481.11"	"9,909.73"	"10,217.71"	"10,799.02"	"11,383.03"	"11,568.24"	"11,387.19"	"11,546.13"	"10,741.32"	"10,670.08"	"10,448.37"	"10,762.56"	"11,159.49"	"11,473.13"	"11,392.19"	"11,596.96"	"11,457.59"	"11,338.93"	"11,665.52"	"11,663.67"	"11,865.59"	"11,854.28"	"12,389.19"	"12,638.97"	"12,994.24"	"13,638.90"	"14,185.73"	"14,023.17"	"14,931.10"	"15,389.25"	"15,549.59"	"15,881.55"	"15,825.97"	"15,132.93"	"14,517.25"	"14,592.08"	"14,664.45"	"14,714.55"	"13,777.45"	"14,076.53"	"14,308.79"	"14,543.94"	"14,782.98"	"15,032.21"
																																														
