Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
South Africa	0.221	-5.353	-2.645	-1.328	2.666	10.077	-3.691	4.649	8.17	2.182	-0.434	-1.546	5.491	10.379	2.485	10.938	7.204	5.295	3.246	1.261	8.313	2.393	0.989	0.11	2.833	8.568	7.463	7.828	1.55	-17.024	7.718	3.496	0.794	3.985	3.577	2.925	0.352	-0.729	2.638	-2.511	-11.35	9.55	7.65	2.52	3.47	4.42
																																														
Sri Lanka	4.425	4.054	5.195	-4.938	16.883	11.111	5	-0.952	-2.885	1.98	16.5	1.2	4	14.3	9.4	7.16	4.147	10.619	-1.5	5.076	18.261	11.345	-13.515	8.383	7.7	-0.582	4.666	2.31	-2.271	-16.346	13.791	-11.016	-8.296	16.476	13.446	3.56	9.449	4.234	6.176	-2.264	-19.91	33.077	15.231	5.313	4.427	4.304
																																														
Thailand	13.727	4.104	18.788	-6.318	12.056	4.17	15.051	21.108	26.114	21.145	11.686	17.28	13.807	12.735	14.245	15.445	-5.525	7.234	8.242	9.031	17.488	-4.211	5.887	9.134	14.631	7.76	10.788	8.894	6.264	-12.14	14.22	9.509	3.662	2.514	0.345	1.25	2.696	5.179	3.348	-1.047	-21.243	11.208	5.186	4.936	4.238	3.938
																																														
Turkey	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.309	8.698	7.511	12.706	6.877	5.814	19.185	10.69	-15.059	12.868	12.201	1.802	9.302	13.288	8.898	6.75	8.076	7.571	-4.466	6.602	8.676	13.626	6.317	6.93	1.493	-0.954	12.581	9.971	8.241	-17.814	26.49	10.786	9.882	6.258	4.746
																																														
Argentina	3	5	4.5	5	5	6.25	6.3	6	6.5	8	7.6	6.48	7.112	11.606	13.348	18.904	18.76	16.808	14.789	16.061	17.134	19.209	22.45	17.25	13.625	11.575	10.175	8.475	7.875	8.675	7.75	7.15	7.2	7.075	7.25	6.533	8.467	8.35	9.2	9.825	10.981	10.11	9.69	9.369	9.19	9.15
																																														
Brazil	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10.1	11.6	11	10.5	9.9	11.2	11.6	14.7	14.7	13.9	12.5	13	13.7	12.9	11.4	11.5	10.9	9.4	9.7	8.5	7.8	7.4	7.2	6.783	8.283	11.258	12.767	12.258	11.925	13.371	14.125	13.284	12.457	11.641	10.82
																																														
India																																														
																																														
Indonesia	n/a	n/a	n/a	n/a	1.62	2.22	2.75	2.64	2.89	2.86	2.59	2.67	2.79	2.83	4.47	7.42	4.998	4.77	5.46	6.36	6.08	8.1	9.06	9.67	9.86	11.24	10.28	9.11	8.39	7.87	7.14	6.56	6.14	6.25	5.94	6.18	5.61	5.5	5.34	5.28	8	6.8	5.8	5.4	5.3	5.3
																																														
Malaysia	n/a	n/a	n/a	n/a	n/a	6.893	8.261	8.207	8.079	6.715	5.055	4.345	3.718	3.026	2.947	3.143	2.516	2.445	3.225	3.425	3.1	3.675	3.475	3.6	3.55	3.55	3.325	3.225	3.325	3.675	3.3	3.05	3.025	3.1	2.875	3.15	3.45	3.425	3.325	3.275	4.9	3.4	3.3	3.3	3.3	3.3
																																														
Mexico	1.2	0.9	4.2	6.1	5.6	4.4	4.3	3.883	3.542	2.925	2.742	2.692	2.83	3.43	3.7	6.23	5.45	3.73	3.16	2.5	2.2	2.768	2.978	3.4	3.919	3.478	3.528	3.61	3.887	5.329	5.272	5.171	4.891	4.903	4.823	4.349	3.883	3.423	3.331	3.493	5.238	5.8	4.666	4.423	4.187	4.035
																																														
Pakistan	n/a	n/a	n/a	3.85	3.75	3.65	3.3	3.071	3.142	3.141	3.13	5.85	5.85	4.73	4.84	5.37	5.37	6.12	5.89	5.89	7.82	7.82	8.27	8.27	7.69	7.69	6.2	5.2	5.2	5.46	5.55	5.95	5.95	5.975	6	5.9	5.958	6.018	5.55	4.08	4.5	5.11	4.9	4.947	4.997	5.047
																																														
South Africa	9.241	9.824	10.755	12.543	13.718	15.452	16.049	16.592	17.238	17.829	18.784	20.162	21.213	22.163	22.89	16.5	20.3	22	26.1	23.3	23	25.95	27.8	27.65	25.15	24.65	23.55	23	22.525	23.7	24.875	24.8	24.875	24.725	25.1	25.35	26.725	27.45	27.125	28.7	36.989	36.495	36.989	37.49	37.562	37.494
																																														
Sri Lanka	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	15.897	14.665	14.566	13.777	13.127	12.267	11.294	10.501	9.174	8.857	7.573	7.9	8.8	8.4	8.3	7.7	6.6	6.2	6	5.9	5	4.1	4	4.4	4.3	4.7	4.4	4.2	4.4	4.8	8.35	7	5.5	4.4	4.4	4.4
																																														
Thailand	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.333	2.442	2.192	2.108	1.858	1.517	1.364	1.372	1.5	1.05	0.658	0.675	0.7	0.8	0.9	1	1.2	1.1	1	1	1	1	1	1	1
																																														
Turkey	7.2	7.2	7.6	7.51	7.407	6.946	7.716	8.131	8.701	8.575	7.998	7.66	7.944	8.368	8.013	7.109	6.124	6.318	6.373	7.155	5.997	7.804	9.764	9.925	9.688	9.488	9.034	9.183	10.02	13.053	11.127	9.096	8.432	9.041	9.915	10.279	10.907	10.904	10.955	13.709	14.622	12.449	10.723	8.962	8.728	8.504
																																														
Argentina	27.95	28.45	28.93	29.34	29.84	30.35	30.74	31.09	31.47	31.86	32.53	32.97	33.42	33.917	34.353	34.779	35.196	35.604	36.005	36.399	36.784	37.156	37.516	37.87	38.226	38.592	38.971	39.356	39.746	40.134	40.788	41.261	41.733	42.203	42.67	43.132	43.59	44.045	44.495	44.939	45.388	45.842	46.3	46.763	47.231	47.703
																																														
Brazil	118.563	121.213	123.885	126.573	129.273	131.978	134.653	137.268	139.819	142.307	146.593	149.094	151.547	153.986	156.431	158.875	163.538	166.104	168.693	171.256	173.766	176.209	178.499	180.708	182.865	184.991	187.062	189.038	191.01	192.981	194.891	196.604	198.315	200.004	201.718	203.476	205.157	206.805	208.495	210.147	211.422	212.781	214.084	215.331	216.522	217.655
																																														
India	698.953	715.385	732.24	749.429	766.833	784.36	801.975	819.682	837.469	855.335	873.278	891.273	909.307	927.404	945.602	963.923	982.365	"1,000.90"	"1,019.48"	"1,038.06"	"1,056.58"	"1,075.00"	"1,093.32"	"1,111.52"	"1,129.62"	"1,147.61"	"1,165.49"	"1,183.21"	"1,200.67"	"1,217.73"	"1,234.28"	"1,250.29"	"1,265.78"	"1,280.85"	"1,295.60"	"1,310.15"	"1,324.51"	"1,338.66"	"1,352.62"	"1,367.60"	"1,381.59"	"1,395.57"	"1,409.56"	"1,423.55"	"1,437.53"	"1,450.52"
																																														
Indonesia	147.49	150.406	153.379	156.41	159.502	162.655	165.87	169.149	172.492	175.902	179.379	182.354	185.378	188.452	191.578	194.755	197.004	199.28	201.581	203.909	206.265	209.206	212.19	215.216	218.285	221.398	224.555	227.758	231.006	234.3	237.641	241.991	245.425	248.818	252.165	255.588	258.497	261.356	264.162	266.912	269.603	272.249	274.859	277.432	279.965	282.455
																																														
Malaysia	13.885	14.229	14.592	14.955	15.328	15.823	16.257	16.681	17.094	17.508	18.267	18.547	19.068	19.602	20.142	20.682	21.223	21.769	22.334	22.91	23.495	24.123	24.727	25.32	25.905	26.477	26.832	27.1	27.6	28.082	28.589	29.062	29.51	30.214	30.709	31.186	31.634	32.023	32.382	32.581	32.998	33.419	33.843	34.265	34.681	35.086
																																														
Mexico	67.761	69.408	71.059	72.709	74.353	75.983	77.599	79.2	80.789	82.369	83.943	85.513	87.075	88.625	90.156	91.663	93.147	94.611	96.056	97.485	98.9	100.298	101.685	103.081	104.515	106.005	107.56	109.171	110.815	112.464	114.093	115.695	117.274	118.827	120.355	121.858	123.333	124.777	126.191	127.576	128.933	130.262	131.563	132.834	134.074	135.284
																																														
Pakistan	80.379	82.756	85.203	87.651	90.098	92.565	95.071	97.597	100.152	102.726	105.7	108.04	112.61	115.54	118.5	121.48	124.49	127.51	130.56	133.61	136.64	140.36	143.17	146.75	149.65	152.53	155.37	158.17	164.66	168.18	171.73	175.31	178.91	182.53	186.19	189.87	193.56	197.26	200.96	204.729	208.57	212.482	216.467	220.527	224.664	228.878
																																														
South Africa	29.08	29.83	30.61	31.41	32.21	32.98	33.73	34.46	35.2	35.97	36.79	37.69	38.65	39.62	40.56	41.43	42.21	42.92	43.58	44.23	44.9	45.724	46.355	46.806	47.31	47.86	48.446	49.089	49.795	50.545	51.329	52.129	52.93	53.751	54.574	55.407	56.252	57.098	57.939	58.775	59.671	60.581	61.505	62.443	63.396	64.362
																																														
Sri Lanka	15.557	15.767	15.965	16.152	16.325	16.486	16.649	16.815	16.984	17.155	17.33	17.54	17.741	17.929	18.098	18.247	18.372	18.477	18.571	18.669	18.782	18.913	19.059	19.215	19.373	19.525	19.67	19.811	19.946	20.075	20.198	20.315	20.425	20.585	20.771	20.966	21.203	21.444	21.67	21.803	21.937	22.071	22.207	22.343	22.48	22.618
																																														
Thailand	47.374	48.326	49.256	50.174	51.095	52.027	52.98	53.946	54.892	55.772	56.558	57.232	57.811	58.338	58.875	59.467	60.13	60.847	61.585	62.299	62.953	63.539	64.069	64.55	64.995	65.416	65.813	66.182	66.531	66.867	67.195	67.518	67.836	68.145	68.439	68.715	68.971	69.21	69.428	69.626	69.8	69.951	70.078	70.183	70.266	70.329
																																														
Turkey	45.272	46.314	47.382	48.461	49.532	50.582	51.606	52.607	53.588	54.554	55.511	56.457	57.394	58.328	59.259	60.184	61.106	62.023	62.912	63.818	64.73	65.603	66.402	67.187	68.01	68.861	69.73	70.586	71.517	72.561	73.723	74.724	75.627	76.668	77.696	78.741	79.815	80.811	82.004	83.155	84.174	85.184	86.192	87.19	88.17	89.133
																																														
Argentina	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	21.993	21.688	20.788	19.876	20.748	21.303	21.766	21.83	21.068	19.943	23.526	26.996	27.766	28.267	30.308	31.114	32.694	31.965	32.156	33.803	34.349	34.601	35.366	34.867	34.428	33.974	33.859	33.027	n/a	n/a	n/a	n/a	n/a
																																														
Brazil	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	32.903	32.997	33.68	34.414	31.162	33.061	34.497	35.815	35.295	36.223	35.626	34.882	35.878	33.913	36.069	35.109	34.708	34.491	32.496	28.229	30.648	30.446	30.925	31.844	28.043	29.814	30.714	30.653	30.419	30.249
																																														
India	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17.568	17.69	17.442	19.037	18.472	17.32	17.897	17.852	17.354	16.663	16.011	16.853	17.372	16.946	17.732	18.195	18.897	19.062	20.338	21.962	19.708	18.518	18.821	19.291	19.814	19.6	19.149	19.854	20.113	19.856	20.239	19.302	18.08	19.042	19.549	19.765	19.86	19.889
																																														
Indonesia	n/a	19.074	17.086	17.636	18.555	17.663	15.096	14.567	14.63	13.991	16.815	15.551	15.28	13.505	13.529	12.548	12.47	14.216	13.185	14.181	13.433	17.745	16.353	17.099	17.573	17.86	18.868	17.782	19.448	15.382	15.644	17.01	17.249	16.864	16.461	14.875	14.338	14.053	14.881	14.153	11.807	11.897	12.363	12.76	13.09	13.287
																																														
Malaysia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	30.674	28.995	30.015	28.053	28.718	25.7	25.66	25.995	22.486	21.64	19.58	23.863	23.184	23.472	22.531	21.705	22.972	23.318	23.515	25.009	22.285	23.52	25.403	24.302	23.329	22.162	20.095	19.52	19.416	20.177	20.252	19.241	19.337	19.322	19.343	19.315
																																														
Mexico	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20.964	22.875	22.542	17.71	17.498	17.501	18.033	18.056	15.868	16.456	17.507	17.857	18.464	20.218	20.022	20.623	21.287	22.056	27.02	23.67	23.699	24.381	24.488	24.07	23.422	23.501	24.587	24.642	23.464	24.083	24.439	22.993	23.143	22.897	22.989	23.031
																																														
Pakistan	13.298	13.885	13.106	13.365	15.023	14.383	15.854	16.491	14.108	14.771	15.065	13.187	14.203	14.317	13.585	12.574	13.34	12.31	12.057	12.691	13.24	13.081	14.737	15.951	13.565	13.124	13.776	14.364	14.383	14.227	14.325	12.619	13.025	13.452	15.243	14.517	15.519	15.544	15.21	12.993	15.113	16.127	17.029	17.691	17.785	17.757
																																														
South Africa	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	23.664	24.079	23.759	23.642	24.243	28.058	28.504	28.531	28.136	26.507	26.42	26.8	26.942	27.326	27.589	28.152	28.589	28.22	29.044	29.065	27.048	26.885	28.372	28.962	29.27	29.526
																																														
Sri Lanka	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	19.603	19.071	18.686	17.988	17.259	18.248	16.75	16.224	15.079	15.429	14.424	14.395	14.365	13.637	13.379	14.691	15.102	14.541	13.599	13.112	13.006	13.617	12.225	12.023	11.626	13.341	14.118	13.802	13.452	12.645	9.255	10.738	11.57	11.755	12.021	12.225
																																														
Thailand	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20.23	20.711	19.954	17.629	17.455	17.554	19.056	18.99	20.264	20.437	21.753	20.606	20.219	20.027	19.508	20.939	21.208	21.391	22.151	21.385	22.315	21.915	21.099	21.425	21.024	21.024	21.024	21.024	21.024	21.024	21.024
																																														
Turkey	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	31.106	32.369	29.674	30.856	30.438	31.363	33.343	31.518	31.551	32.05	32.463	32.441	32.334	32.477	31.642	31.937	32.505	31.189	30.961	29.528	28.988	28.547	28.798	29.059	29.337	29.353
																																														
Argentina	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.017	22.938	22.862	22.687	22.586	23.13	25.471	25.247	26.432	21.853	22.026	23.03	24.426	26.617	29.551	30.762	34.524	33.358	34.902	36.821	37.603	38.853	41.366	41.522	41.121	39.49	38.327	44.444	n/a	n/a	n/a	n/a	n/a
																																														
Brazil	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	38.249	38.601	40.9	39.589	34.482	36.233	38.916	40.992	38.171	39.762	39.196	37.619	37.412	37.1	39.893	37.576	37.228	37.446	38.517	38.482	39.639	38.303	38.088	37.858	44.825	36.333	36.299	36.287	36.289	36.146
																																														
India	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	24.457	25.234	25.371	26.801	26.229	25.742	25.756	24.549	23.944	24.796	25.586	25.404	25.636	27.788	28.613	29.426	27.959	26.431	26.659	26.467	28.69	28.052	27.447	27.641	27.364	26.6	26.22	27.057	27.231	26.217	26.509	27.52	31.157	29.971	29.559	29.334	29.157	28.994
																																														
Indonesia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	14.093	13.524	11.907	11.508	15.25	15.079	15.14	15.303	19.509	16.929	18.176	17.833	17.436	18.495	18.729	19.394	17.026	16.886	17.713	18.836	19.081	18.606	17.478	16.824	16.562	16.631	16.382	18.122	17.392	16.321	15.718	15.86	15.793
																																														
Malaysia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	30.525	27.393	28.209	24.614	23.27	22.598	22.391	21.155	23.114	24.643	25.632	28.223	27.144	28.069	25.884	24.538	25.574	25.889	26.92	30.889	26.604	27.088	28.505	27.78	25.957	24.708	22.698	21.932	22.723	23.872	26.784	23.913	22.934	22.89	22.52	22.459
																																														
Mexico	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	24.259	21.295	20.149	19.313	19.863	19.906	21.877	21.692	20.624	21.178	20.322	20.563	20.755	22.573	21.433	22.123	22.569	23.583	27.733	27.795	27.674	27.716	28.214	27.777	27.956	27.496	27.352	25.706	25.662	26.431	30.239	26.393	25.743	25.397	25.489	25.531
																																														
Pakistan	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	21.214	18.113	17.439	18.748	17.135	17.626	16.521	17.25	16.14	18.05	16.099	15.182	15.938	17.062	19.481	21.442	19.275	20.337	19.349	21.656	21.821	20.095	19.771	19.935	21.303	21.632	21.977	23.124	22.837	22.181	21.682	21.269	20.908
																																														
South Africa	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	25.203	25.21	24.83	25.428	25.411	28.173	27.593	27.175	28.672	31.709	31.447	30.877	31.368	31.594	31.852	32.927	32.656	32.599	33.188	35.319	41.091	38.025	36.238	34.584	33.515	32.601
																																														
Sri Lanka	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	26.206	27.312	23.804	23.957	24.914	25.598	23.875	22.126	22.093	21.201	22.464	23.161	21.502	19.996	19.915	20.824	21.214	20.545	19.729	21.72	19.961	19.853	17.824	17.209	17.857	20.353	19.455	19.305	18.747	20.826	18.884	18.831	19.21	19.481	19.55	19.617
																																														
Thailand	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17.176	17.962	21.634	23.922	26.472	19.346	20.824	25.712	18.286	19.331	19.58	18.739	19.999	19.226	21.722	22.009	21.113	22.251	21.636	22.186	22.183	21.346	21.524	21.361	21.84	26.235	25.945	22.769	22.949	22.942	22.916
																																														
Turkey	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	39.476	44.037	41.013	38.428	34.56	32.112	34.028	33.445	34.191	37.889	35.864	33.123	34.151	33.936	33.064	33.196	34.843	33.372	34.615	35.176	36.866	36.475	36.891	36.738	36.721	36.778
